run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_4,192.168.0.106,B14,4,diamond_4,4,1,node_segment_3_of_5,2026-05-19T20:20:13.806,51.227,33.681,43,49,6
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,1,node_segment_3_of_5,2026-05-19T20:20:13.806,51.227,33.681,44,49,5
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_1,192.168.0.101,B11,1,diamond_1,2,7,node_segment_3_of_5,2026-05-19T20:20:13.909,51.33,33.784,48,54,6
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,7,node_segment_3_of_5,2026-05-19T20:20:13.909,51.33,33.784,43,48,5
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,3,8,node_segment_3_of_5,2026-05-19T20:20:13.909,51.33,33.784,44,48,4
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_4,192.168.0.106,B14,4,diamond_4,4,1,node_segment_3_of_5,2026-05-19T20:20:13.909,51.33,33.784,43,49,6
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,1,node_segment_3_of_5,2026-05-19T20:20:13.909,51.33,33.784,44,49,5
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_1,192.168.0.101,B11,1,diamond_1,2,7,node_segment_3_of_5,2026-05-19T20:20:14.014,51.435,33.889,48,54,6
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,7,node_segment_3_of_5,2026-05-19T20:20:14.014,51.435,33.889,43,48,5
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,3,8,node_segment_3_of_5,2026-05-19T20:20:14.014,51.435,33.889,44,48,4
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_4,192.168.0.106,B14,4,diamond_4,4,1,node_segment_3_of_5,2026-05-19T20:20:14.014,51.435,33.889,43,49,6
